PROCESSDATA	RHT.7050-342_FIC60101 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-07-01 21:55:00	751
tagname	LYCDU.RHT.7050-342_FIC60101.MV	LYCDU.RHT.7050-342_FIC60101.PV	LYCDU.RHT.7050-342_FIC60101.SV	LYCDU.RHT.7050-342_FIC60101.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	D-601汽包给水流量控制_OP	D-601汽包给水流量控制_PV	D-601汽包给水流量控制_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=10.356255	fsMin=0	fsGridNum=10	fdMax=10.356255tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-07-01 22:45:10	14.08094	2.346306	2.399641	1	0	0	0	0
2024-07-01 22:45:20	14.08094	2.346654	2.402229	1	0	0	0	0
2024-07-01 22:45:30	14.08094	2.346654	2.402229	1	0	0	0	0
2024-07-01 22:45:40	14.08094	2.346132	2.367716	1	0	0	0	0
2024-07-01 22:45:50	14.01186	2.344391	2.299759	1	0	0	0	0
2024-07-01 22:46:00	13.94038	2.342298	2.323797	1	0	0	0	0
2024-07-01 22:46:10	13.86651	2.338461	2.368215	1	0	0	0	0
2024-07-01 22:46:20	13.75922	2.328652	2.349694	1	0	0	0	0
2024-07-01 22:46:30	13.75469	2.32445	2.337471	1	0	0	0	0
2024-07-01 22:46:40	13.85291	2.325855	2.331547	1	0	0	0	0
2024-07-01 22:46:50	13.85291	2.325855	2.331547	1	0	0	0	0
2024-07-01 22:47:00	13.9493	2.321635	2.358366	1	0	0	0	0
2024-07-01 22:47:10	14.26028	2.350479	2.40171	1	0	0	0	0
2024-07-01 22:47:20	14.33753	2.354642	2.388165	1	0	0	0	0
2024-07-01 22:47:30	14.37616	2.358801	2.385601	1	0	0	0	0
2024-07-01 22:47:40	14.37616	2.362954	2.394017	1	0	0	0	0
2024-07-01 22:47:50	14.43454	2.367096	2.344853	1	0	0	0	0
2024-07-01 22:48:00	14.51983	2.368304	2.322249	1	0	0	0	0
2024-07-01 22:48:10	14.51983	2.368304	2.322249	1	0	0	0	0
2024-07-01 22:48:20	14.63202	2.36658	2.326206	1	0	0	0	0
2024-07-01 22:48:30	14.73731	2.38497	2.383012	1	0	0	0	0
2024-07-01 22:48:40	14.73731	2.385655	2.406049	1	0	0	0	0
2024-07-01 22:48:50	14.73731	2.385655	2.396015	1	0	0	0	0
2024-07-01 22:49:00	14.7598	2.382568	2.387788	1	0	0	0	0
2024-07-01 22:49:10	14.80479	2.376394	2.381369	1	0	0	0	0
2024-07-01 22:49:20	14.80479	2.376394	2.381369	1	0	0	0	0
2024-07-01 22:49:30	14.80479	2.384279	2.333527	1	0	0	0	0
2024-07-01 22:49:40	14.30442	2.365544	2.306896	1	0	0	0	0
2024-07-01 22:49:50	14.30442	2.358624	2.281659	1	0	0	0	0
2024-07-01 22:50:00	14.2404	2.350469	2.277833	1	0	0	0	0
2024-07-01 22:50:10	14.11234	2.341079	2.295418	1	0	0	0	0
2024-07-01 22:50:20	14.11234	2.342822	2.323061	1	0	0	0	0
2024-07-01 22:50:30	14.12982	2.341775	2.355304	1	0	0	0	0
2024-07-01 22:50:40	14.12982	2.341775	2.355304	1	0	0	0	0
2024-07-01 22:50:50	14.16476	2.337937	2.392148	1	0	0	0	0
2024-07-01 22:51:00	14.48364	2.353919	2.375969	1	0	0	0	0
2024-07-01 22:51:10	14.80951	2.371234	2.360986	1	0	0	0	0
2024-07-01 22:51:20	14.80951	2.368821	2.404778	1	0	0	0	0
2024-07-01 22:51:30	14.91734	2.373286	2.458863	1	0	0	0	0
2024-07-01 22:51:40	15.13299	2.384628	2.523241	1	0	0	0	0
2024-07-01 22:51:50	15.27404	2.392485	2.492215	1	0	0	0	0
2024-07-01 22:52:00	15.41087	2.40134	2.451529	1	0	0	0	0
