PROCESSDATA	2111FIC40102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-24 21:55:00	751
tagname	2111FIC40102B.MV	2111FIC40102B.PV	2111FIC40102B.SV	2111FIC40102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401二路支管_OP	常底油进F401二路支管_PV	常底油进F401二路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.921874734183671	fsMin=0	fsGridNum=10	fdMax=1.921874734183671tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-24 23:05:00	42.28953695352113	99.66927150985916	102.40272252112676	1	0	0	0	0
2024-08-24 23:05:10	41.858219008	102.43207968	102.48478212	1	0	0	0	0
2024-08-24 23:05:20	41.956593612244895	101.40014757142858	101.97196336734694	1	0	0	0	0
2024-08-24 23:05:30	42.08818741176471	100.63761209803921	100.96745143137255	1	0	0	0	0
2024-08-24 23:05:40	41.41469888970588	102.41472892647059	100.41489279411765	1	0	0	0	0
2024-08-24 23:05:50	41.70031149571428	100.1333928	99.90590318571428	1	0	0	0	0
2024-08-24 23:06:00	41.4282536625	100.693483	99.59484125	1	0	0	0	0
2024-08-24 23:06:10	41.191303142857144	100.73399342857142	99.41395	1	0	0	0	0
2024-08-24 23:06:20	41.330826	99.635938	99.200904	1	0	0	0	0
2024-08-24 23:06:30	41.0876484625	99.724434	98.8661993175	1	0	0	0	0
2024-08-24 23:06:40	41.14382355	99.5734295	99.2805557	1	0	0	0	0
2024-08-24 23:06:50	41.05071124285715	99.279532	98.99740616142857	1	0	0	0	0
2024-08-24 23:07:00	41.210397836231884	99.56488855072465	99.89224724637681	1	0	0	0	0
2024-08-24 23:07:10	41.369533522727274	99.79955090909091	100.46959245454545	1	0	0	0	0
2024-08-24 23:07:20	41.336689985999996	100.30860332	100.46426064	1	0	0	0	0
2024-08-24 23:07:30	41.11268460588236	100.03754686274509	99.60696414313725	1	0	0	0	0
2024-08-24 23:07:40	41.19700520909091	99.61878236363637	99.60863214	1	0	0	0	0
2024-08-24 23:07:50	41.1802	99.24324	99.2355957	1	0	0	0	0
2024-08-24 23:08:00	41.144983357142856	99.51219342857142	99.4315	1	0	0	0	0
2024-08-24 23:08:10	41.13801464	99.21823214285713	99.149497	1	0	0	0	0
2024-08-24 23:08:20	41.17715454	99.48533022000001	99.41934824	1	0	0	0	0
2024-08-24 23:08:30	41.198506125	99.2693354375	99.2592625	1	0	0	0	0
2024-08-24 23:08:40	41.1942673	99.21977	99.24775	1	0	0	0	0
2024-08-24 23:08:50	41.12602739	99.3554059	99.1839405	1	0	0	0	0
2024-08-24 23:09:00	41.04696679193548	99.61535790322581	99.26962671129031	1	0	0	0	0
2024-08-24 23:09:10	41.10816805	99.58821209999999	99.46203804999999	1	0	0	0	0
2024-08-24 23:09:20	41.323812284	99.163732352	99.77267	1	0	0	0	0
2024-08-24 23:09:30	41.2983	99.65274914285715	99.89850628571429	1	0	0	0	0
2024-08-24 23:09:40	41.3392955	99.66824533333333	99.91872866666667	1	0	0	0	0
2024-08-24 23:09:50	41.1013732	100.045704	99.50563666666666	1	0	0	0	0
2024-08-24 23:10:00	41.362915578260875	99.26098260869566	99.84928739130434	1	0	0	0	0
2024-08-24 23:10:10	41.18699273768116	99.91601797101448	99.5384144057971	1	0	0	0	0
2024-08-24 23:10:20	41.215801372549016	99.40358342156863	99.46229754901961	1	0	0	0	0
2024-08-24 23:10:30	41.18020333333333	99.2537256594203	99.13799173913044	1	0	0	0	0
2024-08-24 23:10:40	41.277594	99.05524294	99.38088	1	0	0	0	0
2024-08-24 23:10:50	41.14598275316455	99.30187443037975	99.14782887848101	1	0	0	0	0
2024-08-24 23:11:00	41.04951839838709	99.17707741935484	98.81349241935484	1	0	0	0	0
2024-08-24 23:11:10	41.1571429654321	98.82992925925926	99.04734111111111	1	0	0	0	0
2024-08-24 23:11:20	41.10996040816327	99.16553497551021	99.2068793877551	1	0	0	0	0
2024-08-24 23:11:30	41.181598807042256	99.41879592816902	99.68844023943662	1	0	0	0	0
2024-08-24 23:11:40	41.481903849999995	98.98147850000001	100.08505583333333	1	0	0	0	0
2024-08-24 23:11:50	41.0926318254902	100.92137884313725	100.38321960784313	1	0	0	0	0
2024-08-24 23:12:00	41.32467306764706	99.30952909705883	99.59506	1	0	0	0	0
2024-08-24 23:12:10	41.254222408333334	99.452881375	99.49009916666667	1	0	0	0	0
2024-08-24 23:12:20	41.18263100285714	100.01007124285714	99.73429785714285	1	0	0	0	0
2024-08-24 23:12:30	41.18557814918033	99.59210901639345	99.4078844704918	1	0	0	0	0
