PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-04 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.6146241691836742	fsMin=0	fsGridNum=10	fdMax=1.6146241691836742tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-04 22:26:00	41.95491714	99.18210300000001	99.51296	1	0	0	0	0
2024-09-04 22:26:10	42.034220760000004	99.573778	100.0370593	1	0	0	0	0
2024-09-04 22:26:20	42.42504156	99.138498	100.665112	1	0	0	0	0
2024-09-04 22:26:30	42.7077591	99.35845900000001	101.286522	1	0	0	0	0
2024-09-04 22:26:40	42.197644000000004	101.46706280000001	101.036217	1	0	0	0	0
2024-09-04 22:26:50	42.27971622	100.0432306	99.9481209	1	0	0	0	0
2024-09-04 22:27:00	42.032160999999995	99.85816844	99.19538399999999	1	0	0	0	0
2024-09-04 22:27:10	41.91477815	99.876826	98.85524	1	0	0	0	0
2024-09-04 22:27:20	41.84328082	99.67780751	98.7899551	1	0	0	0	0
2024-09-04 22:27:30	41.93782693	98.50725296	98.43348	1	0	0	0	0
2024-09-04 22:27:40	41.86168486	99.258502	99.01974749	1	0	0	0	0
2024-09-04 22:27:50	41.82233657	99.25980541999999	98.88794	1	0	0	0	0
2024-09-04 22:28:00	41.6051174	99.794032	98.8924561	1	0	0	0	0
2024-09-04 22:28:10	41.6963535	99.19284400000001	98.84634394999999	1	0	0	0	0
2024-09-04 22:28:20	41.80052568	99.004223	99.06536200000001	1	0	0	0	0
2024-09-04 22:28:30	41.9309383	99.066097	99.3900452	1	0	0	0	0
2024-09-04 22:28:40	42.01442488	99.03396073	99.490715	1	0	0	0	0
2024-09-04 22:28:50	41.982849869999995	99.00386	99.173341	1	0	0	0	0
2024-09-04 22:29:00	42.19411774	98.86724251	99.617422	1	0	0	0	0
2024-09-04 22:29:10	42.096888310000004	99.0766006	99.2725449	1	0	0	0	0
2024-09-04 22:29:20	42.08322449	99.06884099999999	99.1128845	1	0	0	0	0
2024-09-04 22:29:30	42.26917746	98.98735599999999	99.6568619	1	0	0	0	0
2024-09-04 22:29:40	42.79490472	99.25181810000001	101.18777759999999	1	0	0	0	0
2024-09-04 22:29:50	42.44583445	101.8875357	101.798943	1	0	0	0	0
2024-09-04 22:30:00	42.480505602040814	100.72280953061225	100.793427	1	0	0	0	0
2024-09-04 22:30:10	42.51929864	99.9648368	100.0495282	1	0	0	0	0
2024-09-04 22:30:20	42.277246410000004	100.3926494	99.694657	1	0	0	0	0
2024-09-04 22:30:30	42.44284935	100.00373533999999	100.090385	1	0	0	0	0
2024-09-04 22:30:40	42.42503414	100.0043465	100.038506	1	0	0	0	0
2024-09-04 22:30:50	42.338766480000004	100.1441317	99.810637	1	0	0	0	0
2024-09-04 22:31:00	42.38733559	99.703689	99.6644336	1	0	0	0	0
2024-09-04 22:31:10	42.346758480000005	100.3740675	100.154587	1	0	0	0	0
2024-09-04 22:31:20	42.339306490000006	100.0666449	99.9417953	1	0	0	0	0
2024-09-04 22:31:30	42.54099931	99.67361899999999	100.25591510000001	1	0	0	0	0
2024-09-04 22:31:40	42.63485145	99.9374232	100.6785237	1	0	0	0	0
2024-09-04 22:31:50	42.437191	100.1659413	100.092621	1	0	0	0	0
2024-09-04 22:32:00	42.29602314	100.1502704	99.6244049	1	0	0	0	0
2024-09-04 22:32:10	42.422641670000004	99.685001	99.80551609999999	1	0	0	0	0
2024-09-04 22:32:20	42.492535849999996	99.86909250000001	100.1722597	1	0	0	0	0
2024-09-04 22:32:30	42.83674204	99.83870200000001	101.0096	1	0	0	0	0
2024-09-04 22:32:40	42.846436929999996	100.9299902	101.48455	1	0	0	0	0
2024-09-04 22:32:50	42.41580484	102.0218908	100.9562007	1	0	0	0	0
2024-09-04 22:33:00	42.55967713	100.5586815	100.5293095	1	0	0	0	0
2024-09-04 22:33:10	42.58540372	100.5765465	100.664085	1	0	0	0	0
2024-09-04 22:33:20	42.470096350000006	100.6623443	100.239342	1	0	0	0	0
2024-09-04 22:33:30	42.42833343	100.5858905	100.2452423	1	0	0	0	0
2024-09-04 22:33:40	42.208040260000004	100.8333753	99.928442	1	0	0	0	0
2024-09-04 22:33:50	42.197628009999995	100.6004491	99.8499146	1	0	0	0	0
2024-09-04 22:34:00	42.278367620000004	100.0796006	99.94069	1	0	0	0	0
2024-09-04 22:34:10	41.949834800000005	100.40811190000001	99.197375	1	0	0	0	0
2024-09-04 22:34:20	42.0189247	99.625681	99.097625	1	0	0	0	0
2024-09-04 22:34:30	41.918141399999996	99.72211	99.22192	1	0	0	0	0
2024-09-04 22:34:40	42.1425251	99.256723	99.77521	1	0	0	0	0
2024-09-04 22:34:50	41.91013033	99.719002	99.16980099999999	1	0	0	0	0
2024-09-04 22:35:00	42.084042078431374	99.47448587058823	99.61525362745098	1	0	0	0	0
2024-09-04 22:35:10	42.30040831	99.59347199999999	100.274757	1	0	0	0	0
2024-09-04 22:35:20	42.31184152	99.726245	100.043251	1	0	0	0	0
2024-09-04 22:35:30	42.5211037	99.30727420000001	100.19646493	1	0	0	0	0
2024-09-04 22:35:40	42.06618173	100.6089073	99.91416877	1	0	0	0	0
2024-09-04 22:35:50	42.130919000000006	99.68984657	99.43419	1	0	0	0	0
2024-09-04 22:36:00	42.112824360000005	99.525504	99.28566	1	0	0	0	0
2024-09-04 22:36:10	42.092251	99.730688	99.54024455999999	1	0	0	0	0
2024-09-04 22:36:20	42.27380375	99.449074	99.86964504000001	1	0	0	0	0
2024-09-04 22:36:30	42.225357269999996	99.18285399999999	99.27282	1	0	0	0	0
2024-09-04 22:36:40	42.3419874	99.25477614	99.93715	1	0	0	0	0
2024-09-04 22:36:50	42.15817105	99.73404323	99.47997877	1	0	0	0	0
2024-09-04 22:37:00	42.102138000000004	99.651801	99.35313210000001	1	0	0	0	0
2024-09-04 22:37:10	42.256156680000004	99.504427	99.65031	1	0	0	0	0
2024-09-04 22:37:20	42.318690000000004	99.23989204	99.43151	1	0	0	0	0
2024-09-04 22:37:30	42.43277012	99.68638043	100.2453271	1	0	0	0	0
2024-09-04 22:37:40	42.6095989	99.94265838999999	100.72999519999999	1	0	0	0	0
2024-09-04 22:37:50	42.35108456	101.35101499999999	100.70845	1	0	0	0	0
2024-09-04 22:38:00	42.45939433265306	100.51218075510204	100.69989	1	0	0	0	0
2024-09-04 22:38:10	42.27587011	100.6903615	100.22165417000001	1	0	0	0	0
2024-09-04 22:38:20	42.12178643	100.49205280000001	99.70073854	1	0	0	0	0
2024-09-04 22:38:30	42.23919194	99.65789649999999	99.6433258	1	0	0	0	0
2024-09-04 22:38:40	42.13341716	99.9914428	99.6955948	1	0	0	0	0
2024-09-04 22:38:50	42.32167317	99.305842	99.7929864	1	0	0	0	0
2024-09-04 22:39:00	42.282717500000004	99.940788	100.0864016	1	0	0	0	0
2024-09-04 22:39:10	42.013646	100.2920623	99.59885	1	0	0	0	0
2024-09-04 22:39:20	42.142818840000004	99.6824673	99.76679	1	0	0	0	0
2024-09-04 22:39:30	42.13293061	99.493367	99.61509094	1	0	0	0	0
2024-09-04 22:39:40	42.03020093	99.939669	99.59397046000001	1	0	0	0	0
2024-09-04 22:39:50	42.21886029	99.67918577	100.11895	1	0	0	0	0
2024-09-04 22:40:00	42.21828825882353	99.4024760882353	99.66263	1	0	0	0	0
2024-09-04 22:40:10	42.10942119	99.644595	99.425299	1	0	0	0	0
2024-09-04 22:40:20	42.268985	99.482125	99.76595259999999	1	0	0	0	0
2024-09-04 22:40:30	42.43770214	99.4560173	100.3033	1	0	0	0	0
2024-09-04 22:40:40	42.58143009	99.436441	100.568748	1	0	0	0	0
2024-09-04 22:40:50	42.448451568627455	99.87223588235295	100.015404	1	0	0	0	0
2024-09-04 22:41:00	42.69085631142857	99.66128042	100.67475325714285	1	0	0	0	0
2024-09-04 22:41:10	42.77412176829268	100.51111682926829	101.3772688292683	1	0	0	0	0
2024-09-04 22:41:20	42.66118927	101.3033459	101.609825	1	0	0	0	0
2024-09-04 22:41:30	42.59572034	101.3346522	101.1802007	1	0	0	0	0
2024-09-04 22:41:40	42.457673	101.50638049999999	100.87743151	1	0	0	0	0
2024-09-04 22:41:50	42.376011999999996	99.751604	99.23776	1	0	0	0	0
2024-09-04 22:42:00	42.4195068	99.21897759000001	99.05117	1	0	0	0	0
2024-09-04 22:42:10	42.429226119999996	99.593066	99.56949	1	0	0	0	0
2024-09-04 22:42:20	42.497490479999996	99.96641	100.1099892	1	0	0	0	0
2024-09-04 22:42:30	42.53073954	99.75961622	99.85467	1	0	0	0	0
2024-09-04 22:42:40	42.351123709999996	100.17512199999999	99.5517044	1	0	0	0	0
2024-09-04 22:42:50	42.49479711	99.805833	99.835504	1	0	0	0	0
2024-09-04 22:43:00	42.623794	99.54886386999999	99.964169	1	0	0	0	0
2024-09-04 22:43:10	42.675817450000004	99.6475813	100.040794	1	0	0	0	0
2024-09-04 22:43:20	42.66793174	100.58229279999999	100.875755	1	0	0	0	0
2024-09-04 22:43:30	43.05958477	100.2461161	101.6953484	1	0	0	0	0
